#meta full request: /calibration/alert/ahdc/time_offsets:21417:default:2025-04-11_12-22-13
#meta variation: default
#meta created: 2025-04-11 12:22:13
#meta run range: 21417 - inf.
#meta author: mpaolone

# Sector Layer Component t0 dt0 extra1 extra2 chi2ndf

#& sector layer component t0 dt0 extra1 extra2 chi2ndf
1 31 30 223.3907 15.5241 0.0 0.0 1.75
1 31 31 222.299 15.1934 0.0 0.0 1.73
1 31 32 223.8173 15.6449 0.0 0.0 1.93
1 31 33 224.6116 15.1665 0.0 0.0 1.77
1 31 34 222.8671 15.1080 0.0 0.0 2.00
1 31 35 223.5792 15.2249 0.0 0.0 1.42
1 31 36 223.2687 15.7851 0.0 0.0 1.78
1 31 37 222.4294 15.6430 0.0 0.0 1.44
1 31 38 267.434 18.4027 0.0 0.0 1.55
1 31 39 227.2889 16.5249 0.0 0.0 1.80
1 31 40 255.5668 16.3307 0.0 0.0 1.64
1 31 41 228.616 16.9200 0.0 0.0 1.35
1 31 42 222.1358 17.3520 0.0 0.0 1.45
1 31 43 223.7145 16.7624 0.0 0.0 1.48
1 31 44 220.6596 16.3888 0.0 0.0 1.76
1 31 45 220.2954 15.3088 0.0 0.0 1.75
1 31 46 223.1023 15.7285 0.0 0.0 1.55
1 31 47 224.8606 15.5523 0.0 0.0 1.64
1 31 48 224.9063 16.2641 0.0 0.0 1.66
1 31 49 225.183 15.9657 0.0 0.0 1.40
1 31 50 222.4253 15.5356 0.0 0.0 1.56
1 31 51 226.4131 16.6168 0.0 0.0 1.26
1 31 52 224.1849 16.0886 0.0 0.0 1.89
1 31 53 226.8794 18.1999 0.0 0.0 1.37
1 31 54 223.71 16.6383 0.0 0.0 1.53
1 31 55 226.4489 18.0921 0.0 0.0 1.52
1 31 56 244.1923 17.9053 0.0 0.0 1.65
1 31 57 225.0745 16.2673 0.0 0.0 1.83
1 31 58 225.396 15.6555 0.0 0.0 1.74
1 31 59 225.4706 17.4541 0.0 0.0 1.81
1 31 60 221.7875 16.1501 0.0 0.0 1.42
1 31 61 223.7022 15.1625 0.0 0.0 1.82
1 31 62 223.1809 15.5437 0.0 0.0 2.02
1 31 63 216.9451 14.8192 0.0 0.0 2.04
1 31 64 220.4103 14.7744 0.0 0.0 1.89
1 31 65 219.3143 14.7345 0.0 0.0 2.22
1 31 66 221.1145 14.9501 0.0 0.0 1.87
1 31 67 220.4784 14.8294 0.0 0.0 1.74
1 31 68 220.8646 15.7403 0.0 0.0 1.66
1 31 69 222.2875 15.8810 0.0 0.0 1.40
1 31 70 241.3953 16.7679 0.0 0.0 1.77
1 31 71 218.6287 15.3673 0.0 0.0 1.68
1 31 72 234.9068 16.2363 0.0 0.0 1.53
1 32 1 222.4209 17.2785 0.0 0.0 1.32
